app_id,ranking,chart,country_id,category_id,name,seller_name,url,Internal Country,internet_users,internet_penetration,cat_name,search_details,Include
589698942,1,free,23.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/hu/app/glassdoor-job-search-tools/id589698942?uo=4,Hungary,7836049.646,80.37%,Business,job search_100,True
288429040,1,free,54.0,6000,LinkedIn - Hitta jobb,LinkedIn Corporation,https://apps.apple.com/se/app/linkedin-hitta-jobb/id288429040?uo=4,Sweden,9783323.857,94.49%,Business,find a job_20,True
589698942,1,free,22.0,6000,Glassdoor - Job Search & more,"Glassdoor, Inc.",https://apps.apple.com/hk/app/glassdoor-job-search-more/id589698942?uo=4,Hong Kong,6864057.73,91.74%,Business,glassdoor_20,True
589698942,1,free,20.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/gr/app/glassdoor-job-search-tools/id589698942?uo=4,Greece,8108585.232,75.67%,Business,glassdoor_20,True
589698942,1,free,25.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/id/app/glassdoor-job-search-tools/id589698942?uo=4,Indonesia,130445190,47.69%,Business,glassdoor_20,True
309735670,1,free,28.0,6000,Indeed Lavoro,Indeed Inc.,https://apps.apple.com/it/app/indeed-lavoro/id309735670?uo=4,Italy,44300560.03,74.39%,Business,job search_100,True
288429040,1,free,52.0,6000,LinkedIn: Job Search & News,LinkedIn Corporation,https://apps.apple.com/za/app/linkedin-job-search-news/id288429040?uo=4,South Africa,33312145.87,56.17%,Business,find a job_20,True
589698942,1,free,28.0,6000,Lavori Glassdoor: cerca lavoro,"Glassdoor, Inc.",https://apps.apple.com/it/app/lavori-glassdoor-cerca-lavoro/id589698942?uo=4,Italy,44300560.03,74.39%,Business,glassdoor_20,True
309735670,1,free,4.0,6000,Indeed Jobs,Indeed Inc.,https://apps.apple.com/at/app/indeed-jobs/id309735670?uo=4,Austria,7825043.993,87.75%,Business,indeed_20,True
589698942,1,free,42.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/pl/app/glassdoor-job-search-tools/id589698942?uo=4,Poland,32074671.33,84.52%,Business,glassdoor_20,True
309735670,1,free,2.0,6000,Indeed: Búsqueda de empleo,Indeed Inc.,https://apps.apple.com/ar/app/indeed-b%C3%BAsqueda-de-empleo/id309735670?uo=4,Argentina,33712623.81,74.29%,Business,indeed_20,True
309735670,1,free,58.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/ae/app/indeed-job-search/id309735670?uo=4,UAE,9806331.398,99.15%,Business,indeed_20,True
589698942,1,free,38.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/pk/app/glassdoor-job-search-tools/id589698942?uo=4,Pakistan,37708313.42,17.07%,Business,glassdoor_20,True
589698942,1,free,41.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/ph/app/glassdoor-job-search-tools/id589698942?uo=4,Philippines,47149028.13,43.03%,Business,glassdoor_20,True
589698942,1,free,36.0,6000,Glassdoor - Job Search & more,"Glassdoor, Inc.",https://apps.apple.com/nz/app/glassdoor-job-search-more/id589698942?uo=4,New Zealand,4617108.405,90.81%,Business,glassdoor_20,True
589698942,1,free,24.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/in/app/glassdoor-job-search-tools/id589698942?uo=4,India,277122821.1,20.08%,Business,glassdoor_20,True
589698942,1,free,37.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/no/app/glassdoor-job-search-tools/id589698942?uo=4,Norway,5271885.736,98.00%,Business,glassdoor_20,True
589698942,1,free,113.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/ng/app/glassdoor-job-search-tools/id589698942?uo=4,Nigeria,15397471.36,7.47%,Business,glassdoor_20,True
589698942,1,free,33.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/my/app/glassdoor-job-search-tools/id589698942?uo=4,Malaysia,27256450.45,84.21%,Business,glassdoor_20,True
589698942,1,free,34.0,6000,Glassdoor: búsqueda de empleo,"Glassdoor, Inc.",https://apps.apple.com/mx/app/glassdoor-b%C3%BAsqueda-de-empleo/id589698942?uo=4,Mexico,90343064.59,70.07%,Business,glassdoor_20,True
589698942,1,free,70.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/lt/app/glassdoor-job-search-tools/id589698942?uo=4,Lithuania,2279968.476,81.58%,Business,glassdoor_20,True
589698942,1,free,29.0,6000,Glassdoor - Job Search & more,"Glassdoor, Inc.",https://apps.apple.com/kr/app/glassdoor-job-search-more/id589698942?uo=4,South Korea,49790953.05,96.16%,Business,glassdoor_20,True
589698942,1,free,82.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/ke/app/glassdoor-job-search-tools/id589698942?uo=4,Kenya,12133558.03,22.57%,Business,glassdoor_20,True
589698942,1,free,62.0,6000,Glassdoor - Job Search & more,"Glassdoor, Inc.",https://apps.apple.com/jp/app/glassdoor-job-search-more/id589698942?uo=4,Japan,114865144,91.28%,Business,glassdoor_20,True
589698942,1,free,35.0,6000,Glassdoor - zoek vacatures,"Glassdoor, Inc.",https://apps.apple.com/nl/app/glassdoor-zoek-vacatures/id589698942?uo=4,Netherlands,16270592.76,93.29%,Business,glassdoor_20,True
288429040,1,free,47.0,6000,LinkedIn: Job Search & News,LinkedIn Corporation,https://apps.apple.com/sa/app/linkedin-job-search-news/id288429040?uo=4,Saudi Arabia,33325482.14,95.72%,Business,find a job_20,True
589698942,1,free,57.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/tr/app/glassdoor-job-search-tools/id589698942?uo=4,Turkey,62391261.98,73.98%,Business,glassdoor_20,True
309735670,1,free,62.0,6000,Indeed 求人検索(バイト・仕事探し),Indeed Inc.,https://apps.apple.com/jp/app/indeed-%E6%B1%82%E4%BA%BA%E6%A4%9C%E7%B4%A2-%E3%83%90%E3%82%A4%E3%83%88-%E4%BB%95%E4%BA%8B%E6%8E%A2%E3%81%97/id309735670?uo=4,Japan,114865144,91.28%,Business,find a job_20,True
414607432,1,free,56.0,6000,JobsDB Job Search,Jobs DB Hong Kong Ltd,https://apps.apple.com/th/app/jobsdb-job-search/id414607432?uo=4,Thailand,46523369.73,66.65%,Business,find a job_20,True
